Month,Football,Basketball
2008-01,74.58,60.05
2008-02,61.26,84.78
2008-03,53.75,67.66
2008-04,54,74.46
2008-05,58.84,89.13
2008-06,67.8,97.55
2008-07,58.35,48.64
2008-08,72.88,45.11
2008-09,100,39.67
2008-10,87.65,57.34
2008-11,88.86,59.51
2008-12,75.79,60.6
2009-01,60.77,56.52
2009-02,52.06,76.9
2009-03,48.91,60.33
2009-04,49.64,61.68
2009-05,49.39,77.17
2009-06,47.46,74.73
2009-07,47.7,42.93
2009-08,62.71,36.41
2009-09,89.59,36.96
2009-10,77.97,51.63
2009-11,77.97,50.54
2009-12,63.2,55.71
2010-01,55.69,51.9
2010-02,47.94,63.32
2010-03,46.25,50.82
2010-04,47.7,51.09
2010-05,52.3,57.61
2010-06,77,68.21
2010-07,61.74,51.9
2010-08,67.31,38.32
2010-09,88.62,38.86
2010-10,77.48,55.16
2010-11,72.15,47.55
2010-12,55.69,53.53
2011-01,55.69,55.71
2011-02,46.97,71.47
2011-03,39.47,56.79
2011-04,41.16,63.59
2011-05,38.5,64.4
2011-06,38.74,71.2
2011-07,43.34,42.12
2011-08,58.35,34.78
2011-09,81.11,33.97
2011-10,72.64,43.75
2011-11,69.01,40.22
2011-12,56.17,55.71
2012-01,48.91,53.53
2012-02,41.65,67.93
2012-03,35.59,58.97
2012-04,39.71,55.43
2012-05,39.95,62.5
2012-06,46.49,78.26
2012-07,45.28,48.64
2012-08,59.32,39.95
2012-09,85.23,38.04
2012-10,66.1,49.46
2012-11,68.52,53.26
2012-12,54.24,54.08
2013-01,47.94,54.08
2013-02,43.34,67.39
2013-03,39.23,58.15
2013-04,41.16,60.33
2013-05,40.92,66.03
2013-06,38.01,86.96
2013-07,41.89,50.54
2013-08,65.86,36.68
2013-09,89.83,33.97
2013-10,73.61,47.28
2013-11,70.7,58.42
2013-12,59.56,64.4
2014-01,48.67,59.51
2014-02,40.44,64.4
2014-03,36.08,54.62
2014-04,38.98,64.95
2014-05,42.37,79.62
2014-06,67.8,74.46
2014-07,55.69,52.72
2014-08,63.44,42.12
2014-09,86.2,36.41
2014-10,75.54,52.45
2014-11,76.03,57.34
2014-12,59.81,64.95
2015-01,55.21,59.78
2015-02,43.34,66.85
2015-03,38.5,57.07
2015-04,37.53,65.22
2015-05,39.95,71.47
2015-06,41.65,85.05
2015-07,43.83,51.63
2015-08,59.32,39.95
2015-09,90.07,42.12
2015-10,77.48,50
2015-11,74.58,61.68
2015-12,56.66,66.58
2016-01,48.67,61.14
2016-02,44.79,71.47
2016-03,38.26,59.24
2016-04,39.95,71.2
2016-05,40.19,76.36
2016-06,47.7,100
2016-07,44.07,58.42
2016-08,57.63,41.3
2016-09,81.6,48.91
2016-10,70.94,50.27
2016-11,66.34,60.05
2016-12,51.57,71.2
2017-01,43.34,61.14
2017-02,37.29,70.92
2017-03,33.66,63.32
2017-04,34.38,74.73
2017-05,33.17,76.63
2017-06,33.9,98.37
2017-07,37.05,57.34
2017-08,53.75,50.82
2017-09,75.54,60.6
2017-10,67.31,69.02
2017-11,62.71,73.37
2017-12,52.06,75.54
2018-01,41.65,75.27
2018-02,35.35,80.71
2018-03,31.48,68.21
2018-04,32.2,85.05
2018-05,33.41,91.58
2018-06,53.51,81.79
2018-07,49.15,53.8
2018-08,52.78,44.29
2018-09,71.19,56.25
2018-10,57.63,61.68
2018-11,58.84,72.28
2018-12,47.46,75.27
2019-01,39.95,71.2
2019-02,34.87,76.63
2019-03,31.96,68.21
2019-04,32.2,79.89
2019-05,31.48,86.96
2019-06,34.62,95.38
2019-07,32.93,61.68
2019-08,52.78,45.92
2019-09,71.91,53.53
2019-10,61.99,64.95
2019-11,62.23,73.1
2019-12,51.82,78.26
2020-01,38.74,79.62
2020-02,33.66,84.51
2020-03,25.42,65.76
2020-04,22.76,54.89
2020-05,22.28,51.63
2020-06,24.7,46.2
2020-07,29.06,51.09
2020-08,32.93,83.15
2020-09,47.22,88.59
2020-10,47.94,65.22
2020-11,44.31,57.07
2020-12,42.62,63.04
2021-01,35.59,66.3
2021-02,30.27,67.12
2021-03,28.33,67.66
2021-04,29.78,62.23
2021-05,30.27,75.54
2021-06,39.95,87.5
2021-07,40.92,70.38
2021-08,44.79,47.83
2021-09,70.7,45.92
2021-10,66.83,60.87
2021-11,63.2,69.02
2021-12,52.78,72.01
2022-01,38.5,68.48
2022-02,30.99,71.74
2022-03,30.27,65.76
2022-04,32.45,82.34
2022-05,31.72,87.77
2022-06,32.2,82.07
2022-07,34.62,53.53
2022-08,47.22,42.66
2022-09,69.49,46.47
2022-10,63.2,57.34
2022-11,76.76,59.24
2022-12,68.52,61.41
2023-01,46.73,63.04
2023-02,37.05,69.84
2023-03,35.35,65.76
2023-04,33.41,90.49
2023-05,33.41,95.65
2023-06,35.35,66.58
2023-07,35.84,43.48
2023-08,52.06,34.24
2023-09,78.21,36.96
